,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
0,Grief Mix,https://open.spotify.com/playlist/37i9dQZF1EId30WxHM3lUZ,37i9dQZF1EId30WxHM3lUZ,0,50,0,Spotify,https://open.spotify.com/user/spotify,50,Grief music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Grief/en/large
1,if my grief were a playlist #27,https://open.spotify.com/playlist/7rylcxfWTcOYmGuEYfK59V,7rylcxfWTcOYmGuEYfK59V,17,113,0,Case MxCúlloch,https://open.spotify.com/user/12183438311,113,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb4f1e6b2bcb80acbb68cb7399
2,Cathartic Mix,https://open.spotify.com/playlist/37i9dQZF1EIhcCMJircj9A,37i9dQZF1EIhcCMJircj9A,0,50,0,Spotify,https://open.spotify.com/user/spotify,50,Cathartic music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Cathartic/en/large
3,Quiet Sad Mix,https://open.spotify.com/playlist/37i9dQZF1EIgQSl88QXPwP,37i9dQZF1EIgQSl88QXPwP,0,50,0,Spotify,https://open.spotify.com/user/spotify,50,Quiet Sad music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Quiet%20Sad/en/large
4,coping with grief 🫶🏻🕊️,https://open.spotify.com/playlist/1OFKLr7tudHK8FA3WRtHQU,1OFKLr7tudHK8FA3WRtHQU,958,60,0,Miranda Parker,https://open.spotify.com/user/1250124705,60,,False,https://mosaic.scdn.co/640/ab67616d0000b2731917a0f3f4152622a040913fab67616d0000b27352a56df14c3a5e318925787cab67616d0000b273bfedccaca3c8425fdc0a7c73ab67616d0000b273e77c5f6fff6f4fe0b2d2517c
5,my mom died and i don't know where to put the grief ,https://open.spotify.com/playlist/51ixfH3ZRpvrAaynsrVH5w,51ixfH3ZRpvrAaynsrVH5w,155,49,0,winnie blay,https://open.spotify.com/user/winnie_blay,49,it is the size of a blue whale ,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb99e3869160ad52c9dde9879f
6,"Death, Loss & Grief - sad songs",https://open.spotify.com/playlist/1nkuDxJt0Pr75lu0u7GSOt,1nkuDxJt0Pr75lu0u7GSOt,1922,143,0,your own kind of music,https://open.spotify.com/user/marinuz,143,"Sad songs about sickness, death, loss, hospital visits, dying, addiction, funerals &amp; loss. For loved ones. Kate Bush, Taylor Swift, Sufjan Stevens, Dolly Parton, Smiths, Phoebe Bridges, Eels, Nick Cave &amp; Ed Sheeran (Visiting Hours). 70s, 80s, 90s, 00s, 10s, 20s. Cover art: Edvard Munch",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbf2d5c59ccd6adf8cdca91a48
7,Coping With Loss,https://open.spotify.com/playlist/37i9dQZF1DWVxpHBekDUXK,37i9dQZF1DWVxpHBekDUXK,147895,50,0,Spotify,https://open.spotify.com/user/spotify,50,When someone you love becomes a memory... find solace in these songs.,False,https://i.scdn.co/image/ab67706f0000000353bacd4b66b1f2610a1d886b
8,Songs for loss and grief ,https://open.spotify.com/playlist/0QyrjsBCOz6YLtBrMlZFs0,0QyrjsBCOz6YLtBrMlZFs0,1265,55,0,Eloïse,https://open.spotify.com/user/5h4crl61rrbtsduogy05tav9h,55,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd46a97f25b7a940c9617fb2e
9,Grieving the passing of a loved one,https://open.spotify.com/playlist/3UpuZiT9SjoSPgHMwgKsqA,3UpuZiT9SjoSPgHMwgKsqA,17666,99,0,Your imaginary companion,https://open.spotify.com/user/xnllfxqbcz0y30ptl48xu5ylo,99,"I’m so sorry for your loss, take your time to heal and take care of yourself&lt;3",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbf4548a80f29dcc0fe5bad477
