,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
0,Celebration of Life Songs,https://open.spotify.com/playlist/4v3ODI5duz1sted3hxqmjR,4v3ODI5duz1sted3hxqmjR,881,43,0,Monty,https://open.spotify.com/user/4wdudxg77hccq19j8tscdccaz,43,,False,https://mosaic.scdn.co/640/ab67616d0000b2730d3ff40d037ee2565cbdba93ab67616d0000b2736ff8bc258e3ebc835ffe14caab67616d0000b273757a1aa49c9dfedf621cb855ab67616d0000b273d828b182ee9b7193a0f8b5d6
1,Funeral Songs to Celebrate Life,https://open.spotify.com/playlist/0q0Qa0kov54ebgM7uk3kJp,0q0Qa0kov54ebgM7uk3kJp,5070,90,0,funeralOne,https://open.spotify.com/user/a4zhp97a5uu8x6615hth9887y,90,,False,https://mosaic.scdn.co/640/ab67616d0000b273570fb270ebced7d75338d493ab67616d0000b273749e9bfa78277f30ad2c9a9cab67616d0000b273c985bcc18dd81da80839e5a9ab67616d0000b273cdea00c6905f588e1f72ccad
2,Memorial Songs/Songs for Grief,https://open.spotify.com/playlist/5R8lAZ80vmj95DdboKOECN,5R8lAZ80vmj95DdboKOECN,338,89,0,aims,https://open.spotify.com/user/saidthebutterfly,89,,False,https://mosaic.scdn.co/640/ab67616d0000b2734030bcd7ed0469896d86c3b2ab67616d0000b273cd1c5e0054c122d9aa3f829aab67616d0000b273ef1660da660519148cb7f0d4ab67616d0000b273f77cc81c4679525b9f6b4447
3,best funeral songs,https://open.spotify.com/playlist/0tFEnKpaqod3mmKj5bWvJN,0tFEnKpaqod3mmKj5bWvJN,3693,130,0,nel,https://open.spotify.com/user/levimbony26,130,&quot;I turned around and the water was closing around me&quot;,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb9522c9c3e862d12ba50119fd
4,Songs for grieving/losing loved ones,https://open.spotify.com/playlist/1YCK1vKDgtaySzB0uxTxrA,1YCK1vKDgtaySzB0uxTxrA,2329,98,0,H,https://open.spotify.com/user/zgf06ztlycm8q3jthfiuf0m7p,98,I’m sorry for your loss. I hope this playlist will help you find some comfort like it did for me.,False,https://mosaic.scdn.co/640/ab67616d0000b27336e44ac138237ba6fcec622fab67616d0000b273ba5db46f4b838ef6027e6f96ab67616d0000b273bc7ddb77993dd1d8d19c22a2ab67616d0000b273c60473419a4ce96822541181
5,Fabulous Funeral Songs for a Grand Goodbye,https://open.spotify.com/playlist/7nEp0qbQG3jY4SE03FSQhy,7nEp0qbQG3jY4SE03FSQhy,443,191,0,Rachael Meyer,https://open.spotify.com/user/1130765473,191,"Popular and alternative songs and music for humanist funerals, secular and alternative funerals, memorials and celebration of life ceremonies. Compiled (with the help of friends) by humanist celebrant, Rachael Meyer at Grandgoodbyes.com in Harrogate, North Yorkshire. Feel free to share.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb22418a2467a3c2d6d864b069
6,memorial funeral service songs,https://open.spotify.com/playlist/6se0DKePWrjgIpIdTpLCyQ,6se0DKePWrjgIpIdTpLCyQ,1736,450,0,bekyw2,https://open.spotify.com/user/bekyw2,450,,False,https://mosaic.scdn.co/640/ab67616d0000b2730841a28ca69a34d2a45e58edab67616d0000b2736eabd7ac8ca69e3e977f6236ab67616d0000b273723376f081b369b02795a7fbab67616d0000b2739e9b35c23db7b4c4250acd5e
7,Songs for loss and grief ,https://open.spotify.com/playlist/0QyrjsBCOz6YLtBrMlZFs0,0QyrjsBCOz6YLtBrMlZFs0,1265,55,0,Eloïse,https://open.spotify.com/user/5h4crl61rrbtsduogy05tav9h,55,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd46a97f25b7a940c9617fb2e
8,Memorial Songs for a lost loved one 💔😘,https://open.spotify.com/playlist/0mVRTCfz24RROOJeaic9XL,0mVRTCfz24RROOJeaic9XL,2016,117,0,Lottie Elizabeth,https://open.spotify.com/user/lollybubs28,117,,False,https://mosaic.scdn.co/640/ab67616d0000b273b4a5b99fbcdc9ae83a7a2126ab67616d0000b273dc30583ba717007b00cceb25ab67616d0000b273e345458751c029f411db3d5bab67616d0000b273f0a6fc4f14ea5c0e794b3a59
9,Coping With Loss,https://open.spotify.com/playlist/37i9dQZF1DWVxpHBekDUXK,37i9dQZF1DWVxpHBekDUXK,147895,50,0,Spotify,https://open.spotify.com/user/spotify,50,When someone you love becomes a memory... find solace in these songs.,False,https://i.scdn.co/image/ab67706f0000000353bacd4b66b1f2610a1d886b
