,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
0,Grief Mix,https://open.spotify.com/playlist/37i9dQZF1EId30WxHM3lUZ,37i9dQZF1EId30WxHM3lUZ,0,50,0,Spotify,https://open.spotify.com/user/spotify,50,Grief music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Grief/en/large
1,Melancholy Sad Mix,https://open.spotify.com/playlist/37i9dQZF1EIeODNDegVpao,37i9dQZF1EIeODNDegVpao,0,50,0,Spotify,https://open.spotify.com/user/spotify,50,Melancholy Sad music picked just for you,False,https://seed-mix-image.spotifycdn.com/v6/img/desc/Melancholy%20Sad/en/large
2,Songs for loss and grief ,https://open.spotify.com/playlist/0QyrjsBCOz6YLtBrMlZFs0,0QyrjsBCOz6YLtBrMlZFs0,1266,55,0,Eloïse,https://open.spotify.com/user/5h4crl61rrbtsduogy05tav9h,55,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd46a97f25b7a940c9617fb2e
3,Grieving the passing of a loved one,https://open.spotify.com/playlist/3UpuZiT9SjoSPgHMwgKsqA,3UpuZiT9SjoSPgHMwgKsqA,17668,99,0,Your imaginary companion,https://open.spotify.com/user/xnllfxqbcz0y30ptl48xu5ylo,99,"I’m so sorry for your loss, take your time to heal and take care of yourself&lt;3",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbf4548a80f29dcc0fe5bad477
4,Coping With Loss,https://open.spotify.com/playlist/37i9dQZF1DWVxpHBekDUXK,37i9dQZF1DWVxpHBekDUXK,147896,50,0,Spotify,https://open.spotify.com/user/spotify,50,When someone you love becomes a memory... find solace in these songs.,False,https://i.scdn.co/image/ab67706f0000000353bacd4b66b1f2610a1d886b
5,Songs for grieving/losing loved ones,https://open.spotify.com/playlist/1YCK1vKDgtaySzB0uxTxrA,1YCK1vKDgtaySzB0uxTxrA,2329,98,0,H,https://open.spotify.com/user/zgf06ztlycm8q3jthfiuf0m7p,98,I’m sorry for your loss. I hope this playlist will help you find some comfort like it did for me.,False,https://mosaic.scdn.co/640/ab67616d0000b27336e44ac138237ba6fcec622fab67616d0000b273ba5db46f4b838ef6027e6f96ab67616d0000b273bc7ddb77993dd1d8d19c22a2ab67616d0000b273c60473419a4ce96822541181
6,the mourning of a loss,https://open.spotify.com/playlist/1MXLd0oNbq1l4cYvFmnbik,1MXLd0oNbq1l4cYvFmnbik,4678,67,0,maddi,https://open.spotify.com/user/maddi.ansleyy,67,"to mourn is to: &#x27;express sorrow for someone&#x27;s death.&#x27; a noun, with synonyms including; grief &amp; lamentation.",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb2098e78a4eb8ecacfec95e47
7,Mourning / Remembering / Grieving,https://open.spotify.com/playlist/2KX5ukWccSyzuz8lqM7uGe,2KX5ukWccSyzuz8lqM7uGe,505,27,0,Winkey,https://open.spotify.com/user/31vrr2onpux6d4hi3pphwg5s6b2q,27,With this Playlist I remember and mourn my wonderful dog Mitra who passed away on 2nd June 2022,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb2507e3f92f4ed18703e3f116
8,pov you have a dead sibling and don't know how to cope,https://open.spotify.com/playlist/5oOH5eZryWGOOA3f4xw48m,5oOH5eZryWGOOA3f4xw48m,139,68,0,sleepknøt ☆,https://open.spotify.com/user/21vxac3gzaia6tnnolpmxrwgq,68,mourning songs about a family member ⛓️🪦,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb06be8216a100d9198af01943
9,Mourning Songs ,https://open.spotify.com/playlist/1noo82YvTtWAwpO7fho9Dq,1noo82YvTtWAwpO7fho9Dq,4686,103,0,Mariajesu Lopez,https://open.spotify.com/user/22mqczdclxqupuhrtxklghynq,103,,False,https://mosaic.scdn.co/640/ab67616d0000b2733d92b2ad5af9fbc8637425f0ab67616d0000b2734e0362c225863f6ae2432651ab67616d0000b273de09e02aa7febf30b7c02d82ab67616d0000b273f17ddc825889b0dd22798b9b
